Question,Answer
How do I apply for CPT?,You must get approval from your Designated School Official (DSO) and submit a CPT request form along with an offer letter from your employer.
What documents are required for CPT?,"Typically, you need:
- CPT Request Form from your university
- Job Offer Letter from a U.S. employer
- Proof that CPT is part of your academic program
- Valid passport, visa, and I-94"
How long does CPT processing take?,Processing usually takes 5-10 business days after submission to the DSO.
Can I work before receiving CPT authorization?,"No, you must wait for approval and receive an updated I-20 with CPT authorization before starting work."
Do I need to pay any fees for CPT?,"No, CPT does not require a separate application fee to USCIS."
How do I apply for OPT?,You must submit an OPT request to your school and then file Form I-765 with USCIS.
When can I apply for OPT?,You can apply 90 days before graduation and up to 60 days after graduation.
What documents are required for OPT?,"You need:
- Completed Form I-765
- OPT Recommendation I-20 from your school
- Passport, visa, and I-94 copy
- Two passport-size photos
- USCIS filing fee (currently $470)"
How long does OPT processing take?,USCIS typically takes 90-120 days to process an OPT application.
Can I work while waiting for OPT approval?,"No, you must wait until you receive your EAD card and reach the start date."
What is Form I-765?,"Form I-765 is the official USCIS application used to request work authorization (OPT, STEM OPT, etc.)."
How do I fill out Form I-765?,"You must provide personal details, eligibility category, and supporting documents."
What is my eligibility category for OPT?,"The eligibility code for OPT is (c)(3)(B), and for STEM OPT, it is (c)(3)(C)."
Where do I file Form I-765?,You can file online through USCIS ELIS portal or mail it to the designated USCIS lockbox.
What is the Form I-765 filing fee?,The fee is $470 for OPT and STEM OPT.
,
Can I apply for CPT in my first semester?,"No, you must complete one academic year (two full semesters) before you are eligible unless your program requires immediate participation in CPT."
Do I need a new I-20 for each CPT request?,"Yes, your DSO will issue a new I-20 with CPT authorization every time you apply."
What happens if I work on CPT without authorization?,"Working without CPT authorization is a serious violation of your F-1 status, and you may be required to leave the U.S. immediately."
Can I work multiple jobs on CPT?,"Yes, but each job requires separate CPT authorization and must be approved by your university."
Can I change employers while on CPT?,"No, CPT is employer-specific. If you change employers, you must apply for a new CPT authorization."
What if my CPT job ends before the authorized CPT end date?,You must inform your DSO and stop working immediately to avoid status violations.
Does unpaid work require CPT authorization?,"Yes, even unpaid internships may require CPT if they provide work experience related to your major."
Can I apply for CPT if I have already completed my coursework but havent graduated?,"Typically, no. Once you complete your coursework, you are expected to apply for OPT instead."
How do I prove my CPT is related to my major?,You must submit a detailed job description explaining how the work is related to your field of study.
Do I need an offer letter for CPT?,"Yes, a formal job offer letter is required to apply for CPT."
How soon can I apply for OPT?,You can apply for OPT up to 90 days before graduation and up to 60 days after graduation.
What happens if I dont apply for OPT within 60 days of graduation?,You lose eligibility for OPT and must leave the U.S.
Can I apply for OPT while Im outside the U.S.?,"No, you must be physically present in the U.S. when applying."
Can I do volunteer work while waiting for my OPT approval?,"No, you cannot engage in unpaid or paid work until you receive your EAD card and your OPT start date arrives."
How do I know if my OPT application is approved?,You will receive a USCIS approval notice and an EAD card in the mail.
Can I change my OPT start date after applying?,"No, once your application is submitted, you cannot change your requested start date."
What happens if my OPT application is rejected?,You may resubmit a corrected application if there is still time within your 60-day grace period.
Can I travel outside the U.S. while my OPT is pending?,"Its risky. If your application is pending and your F-1 visa is expired, you may not be allowed to re-enter."
What happens if I exceed 90 days of unemployment on OPT?,"You must leave the U.S., transfer to another program, or change your visa status."
Can I take a second job while on OPT?,"Yes, but all jobs must be related to your field of study."
How soon can I apply for STEM OPT extension?,You can apply 90 days before your regular OPT expires.
Can I switch employers while my STEM OPT application is pending?,"Yes, but your new employer must be E-Verify registered and complete a new Form I-983."
What happens if my STEM OPT is denied?,You get a 60-day grace period to leave the U.S. or find another legal status.
Can I do freelance work while on STEM OPT?,"No, you must have a formal employer-employee relationship, and the employer must complete a training plan (Form I-983)."
Can I work part-time on STEM OPT?,"No, STEM OPT requires at least 20 hours per week at a qualifying job."
Can I take a semester off while on F-1 status?,"Only if you apply for a Leave of Absence, and you may need to leave the U.S. during this period."
What if I change my major after applying for OPT?,"You must inform your DSO, and it may affect your eligibility for STEM OPT."
Can I work more than 20 hours per week on-campus while on CPT or OPT?,"No, if you are on full-time CPT or OPT, you cannot work additional hours on-campus."
What happens if I fall out of status?,You may need to apply for reinstatement or leave the U.S. immediately.
Can I apply for a Green Card while on OPT?,"Yes, but its a long process, and you may need an employer to sponsor you for a work visa (H-1B) first."
How does the H-1B Cap-Gap Extension work?,"If your employer files your H-1B petition before your OPT expires, you can continue working until October 1st, when H-1B status begins."
What happens if my H-1B petition is rejected?,You must leave the U.S. immediately unless you have other visa options.
Can I study while on OPT?,"Yes, but starting a new degree program cancels your OPT."
Can I switch from OPT to another visa without leaving the U.S.?,"Yes, you can apply for H-1B, O-1, or other visas from within the U.S."
"If my F-1 visa expires, can I stay in the U.S.?","Yes, as long as your I-20 is valid. However, if you leave, you must renew your visa before returning."
Can I apply for OPT if I have a pending Green Card application?,"Yes, but you must still maintain F-1 status until your Green Card is approved."
Can I take an unpaid internship while on STEM OPT?,"No, STEM OPT requires paid employment with an E-Verify employer."
What happens if my employer lays me off while on OPT?,You must find a new job within 90 days (150 days for STEM OPT) or leave the U.S.
,
What is the difference between CPT and OPT?,"CPT is for internships or practical training while you are still studying, whereas OPT is post-graduation work authorization."
Do I need a job offer before applying for CPT?,"Yes, CPT is employer-specific, and you must have a job offer before applying."
Can I do multiple CPTs?,"Yes, you can apply for multiple CPT authorizations as long as each job meets CPT eligibility criteria."
Can I do CPT if I am a part-time student?,"No, CPT is only available to full-time students, unless it is your final semester and you are approved for a reduced course load."
Can I extend my CPT?,"Yes, but you must get approval from your DSO and academic department, and it must align with your programs requirements."
Can I take CPT in my final semester?,"Yes, but it must be required for your degree or part of a structured academic program."
Can I apply for CPT after my program ends?,"No, CPT must be completed before your program end date."
Can I switch from part-time to full-time CPT mid-semester?,"Yes, but you need DSO approval, and it may impact your OPT eligibility if full-time CPT exceeds 12 months."
Does CPT require a Social Security Number (SSN)?,"Yes, you need an SSN to get paid. If you dont have one, you must apply for an SSN after receiving CPT approval."
Can I work in any field on CPT?,"No, your CPT job must be directly related to your major."
Can I do both CPT and OPT?,"Yes, but if you do 12 months of full-time CPT, you lose eligibility for OPT."
Do I need a job offer to apply for OPT?,"No, you can apply for OPT without a job offer."
Can I apply for OPT after leaving the U.S.?,"No, you must be physically present in the U.S. when you submit your OPT application."
How long does OPT take to process?,"USCIS takes about 90 days to process OPT applications, so apply early."
Can I expedite my OPT application?,"No, USCIS does not offer premium processing for standard OPT applications."
Can I work while my OPT application is pending?,"No, you must wait for your EAD card and your official OPT start date."
Can I travel internationally while on OPT?,"Yes, but you need: a valid F-1 visa, a valid I-20 signed for travel, your EAD card, and a job offer or employment letter (recommended)."
Can I start a business on OPT?,"Yes, but the business must be related to your major, and you must work at least 20 hours per week."
Can I do OPT after my masters if I already did it after my bachelors?,"Yes, you get a new OPT period for each higher degree level (bachelors, masters, PhD)."
Can I do OPT again if I get a second masters?,"No, you only get one OPT per degree level."
What is the STEM OPT extension?,"A 24-month extension for students with STEM degrees, making their total OPT period 36 months."
Can I change employers while on STEM OPT?,"Yes, but the new employer must be E-Verify registered."
How long can I be unemployed on STEM OPT?,You can be unemployed for up to 150 days (90 days from regular OPT + 60 days from STEM extension).
Can I travel while my STEM OPT extension is pending?,"Yes, but its risky. If your OPT expires before USCIS approves STEM OPT, you may have trouble re-entering."
Does my employer need to sign any forms for STEM OPT?,"Yes, they must complete Form I-983 Training Plan."
How many credits do I need to maintain F-1 status?,You must take at least 9 credits (graduate) or 12 credits (undergraduate) per semester.
What if I fail a course?,"Failing does not immediately affect your status, but falling below full-time enrollment can. Contact your DSO for options."
Can I take online courses on F-1?,"Yes, but only one online course per semester can count toward full-time enrollment."
Can I take a break from school?,"You must apply for a Leave of Absence, get DSO approval, and may need to leave the U.S."
What happens if my visa expires but my I-20 is still valid?,"You can stay in the U.S., but if you travel outside, you need to renew your visa before returning."
Can my employer file for H-1B while Im on OPT?,"Yes, and if selected in the H-1B lottery, you may qualify for Cap-Gap Extension, allowing you to work until your H-1B starts."
What happens if my H-1B is denied?,"If denied, you must leave the U.S. unless you apply for another visa or transfer to another school."
Can I apply for a Green Card while on OPT?,"Yes, but your employer must sponsor you, and the process can take years."
Can I switch to a different visa while on OPT?,"Yes, common options include H-1B, O-1, or L-1 visas."
Can I apply for CPT/OPT if I am on academic probation?,"No, you must be in good academic standing to apply."
Can I do freelance work on CPT or OPT?,"No, CPT is employer-specific, and OPT requires structured employment."
Can I work for a non-profit or government organization on OPT?,"Yes, as long as the job is related to your field of study."
Can I switch schools while on OPT?,"Yes, but your OPT ends when you transfer or start a new degree."
Can I take a second job on OPT?,"Yes, but all jobs must be in your field of study."
,
What is CPT?,"Curricular Practical Training (CPT) is a type of off-campus work authorization for F-1 students, allowing them to gain practical experience related to their major before graduation."
Am I eligible for CPT?,You must have been in F-1 status for at least one academic year (except for graduate students whose program requires immediate participation in CPT). The internship or job must be related to your major and must be part of your academic program.
Is CPT full-time or part-time?,CPT can be part-time (20 hours or fewer per week) during the academic year and full-time (more than 20 hours per week) during school breaks.
Does CPT affect my OPT?,"If you work full-time on CPT for 12 months or more, you lose eligibility for OPT. However, part-time CPT does not impact OPT."
Can I change employers while on CPT?,"No, CPT is employer-specific. If you want to change employers, you need to apply for a new CPT authorization."
How long does CPT processing take?,CPT approval typically takes 510 business days after submitting the required documents to your Designated School Official (DSO).
What is OPT?,"Optional Practical Training (OPT) is a temporary work authorization for F-1 students, allowing them to work in their field of study for up to 12 months after graduation."
When should I apply for OPT?,You can apply for OPT up to 90 days before graduation and up to 60 days after graduation.
Can I work while my OPT application is pending?,"No, you must wait until you receive your Employment Authorization Document (EAD) and your OPT start date arrives."
Can I travel outside the U.S. while waiting for my OPT approval?,"It is not recommended to travel while your OPT is pending. If you must travel, ensure you have a valid F-1 visa, a job offer letter, and proof of your pending OPT application."
What happens if my OPT is denied?,"If your OPT is denied, you must leave the U.S. within 60 days unless you transfer to another school or apply for a different visa."
Can I apply for STEM OPT extension?,"Yes, if you have a STEM-designated degree, you can apply for a 24-month STEM OPT extension, making your total OPT period 36 months."
How long can I stay in the U.S. after my F-1 visa expires?,"If your visa expires but your I-20 is valid, you can stay in the U.S. However, if you leave the U.S., you need to renew your visa before returning."
What is the 60-day grace period?,"After completing your program or OPT, you have 60 days to either leave the U.S., transfer to another school, or change your visa status."
Can I work on-campus while on CPT or OPT?,"Yes, but you are limited to 20 hours per week during the academic year. If you are on full-time CPT or OPT, you should consult your DSO before working on-campus."
Can I work remotely for a company based outside the U.S. while on CPT or OPT?,"Generally, CPT and OPT require U.S.-based employment. Remote work may be allowed if the employer has a U.S. presence and follows employment regulations."
What happens if I change my major after applying for CPT or OPT?,"If you change your major before completing your degree, you may need to update your CPT/OPT application and reapply with a new job offer related to your new major."
Can I take unpaid internships on CPT or OPT?,"Yes, unpaid internships are allowed if they comply with Department of Labor guidelines and your schools CPT/OPT rules."
Can I switch from OPT to H-1B while working?,"Yes, your employer can file an H-1B petition for you while you are on OPT or STEM OPT. If approved, you may qualify for Cap-Gap Extension, allowing you to work until H-1B status begins."
Can I extend my F-1 visa while in the U.S.?,"No, you must travel outside the U.S. to renew your F-1 visa at a U.S. embassy or consulate."
Can I volunteer while on OPT?,"Yes, you can volunteer in your field of study while on OPT, but unpaid work must be at least 20 hours per week and meet U.S. labor laws."
What happens if I lose my job on OPT/STEM OPT?,You have 90 days of unemployment on OPT and 150 days on STEM OPT before you must leave the U.S. or change your status.
Can I apply for OPT if I already used my CPT for one year?,"Yes, as long as you have not used 12 months of full-time CPT, you remain eligible for OPT."
Can I do CPT and OPT at the same time?,"No, you cannot be on CPT and OPT simultaneously."
Can I do multiple CPTs with different employers?,"Yes, but each CPT requires separate approval from your school and must be related to your degree program."
,
How do I file Form I-765 online?,"To file Form I-765 online:

 Create a USCIS online account if you don't already have one.

 Select 'File a Form Online.'

 Complete all sections of the form, upload required evidence, and pay the applicable fee."
What is the filing fee for Form I-765?,"The filing fee for Form I-765 varies depending on the filing method and eligibility category:

 Online filing: $470

 Paper filing: $520

 Adjustment of status applicants (category (c)(9)): $260 if you filed Form I-485 with a fee on or after April 1, 2024, and your Form I-485 is still pending."
What documents are required when filing Form I-765 online?,"When filing Form I-765 online, you should prepare the following:

 A completed Form I-765

 Supporting evidence specific to your eligibility category

 A digital passport-style photo

 Payment for the applicable fee."
Can I request a fee waiver when filing Form I-765 online?,"Yes, eligible applicants may request a fee waiver by submitting Form I-912, Request for Fee Waiver, along with their Form I-765 application using the PDF filing option."
How can I ensure my Form I-765 application is not rejected?,"To avoid rejection:

 Ensure all required fields are completed accurately.

 Submit all necessary supporting documents.

 Pay the correct filing fee.

 Sign your application electronically."
How do I check the status of my Form I-765 application?,"After submitting your application online, you can monitor its status through your USCIS online account dashboard."
What should I do if I encounter technical issues while filing Form I-765 online?,"If you experience technical difficulties:

 Ensure your internet connection is stable.

 Use a compatible web browser.

 Clear your browser's cache and cookies.

If problems persist, contact USCIS support for assistance."
Can I file Form I-765 online if I am applying for Optional Practical Training (OPT)?,"Yes, F-1 students seeking OPT can file Form I-765 online. Ensure you have obtained a recommendation from your Designated School Official (DSO) before applying."
How do I upload supporting documents when filing Form I-765 online?,"During the online application process, you will be prompted to upload digital copies of your supporting documents. Ensure that all uploads are clear, legible, and in the accepted file formats."
What should I do if I realize I made a mistake after submitting Form I-765 online?,"If you identify an error after submission, promptly contact USCIS through your online account or their customer service to seek guidance on correcting the mistake."
